resource_code,name,resource_type,category,unit,base_price,min_price,max_price,currency,usage_count,source,region,specifications,is_active
KAME-TO-KARI-KAVO_KAKAKAME,Technical gaseous oxygen,material,Chemicals & Gases,m3,4.22,4.22,4.22,EUR,6539,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 4.22, ""price_variants_count"": 1, ""avg_cost_per_use"": 110.31, ""avg_quantity_per_use"": 26.3442, ""used_in_rate_codes"": 6539, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS"", ""parent_section"": ""WATER DRAINAGE""}",True
KAME-LI-MEME-KALI_KARIRILI,"Welding electrodes for welding low-alloy and carbon steels UONI 13/45, E42A, diameter 4-5 mm",material,Steel & Metal,kg,3.91,3.91,3.91,EUR,5578,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 3.91, ""price_variants_count"": 1, ""avg_cost_per_use"": 258.19, ""avg_quantity_per_use"": 66.1641, ""used_in_rate_codes"": 5578, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY HYDRO-MECHANIZATION""}",True
KAME-TO-KARI-KADX_KAKARIRI,Propane-butane technical mixture,material,Wood & Timber,kg,1.85,1.85,1.85,EUR,4774,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 1.85, ""price_variants_count"": 1, ""avg_cost_per_use"": 18.08, ""avg_quantity_per_use"": 9.9601, ""used_in_rate_codes"": 4774, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS"", ""parent_section"": ""REINFORCEMENT OF EARTHEN STRUCTURE SLOPES""}",True
PU_MEKAKA_KALIKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,14.0,13.02,78.09,EUR,4659,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 13.02, ""price_variants_count"": 5, ""avg_cost_per_use"": 518.13, ""avg_quantity_per_use"": 39.065, ""used_in_rate_codes"": 4214, ""row_type"": ""Machinist"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP"", ""machine_class"": ""Earthmoving machinery"", ""machinist_grade"": ""7.0""}",True
PU_MEKAKA_KATOKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,8.16,8.07,16.13,EUR,4041,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 8.07, ""price_variants_count"": 2, ""avg_cost_per_use"": 115.94, ""avg_quantity_per_use"": 14.3887, ""used_in_rate_codes"": 3793, ""row_type"": ""Machinist"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS"", ""parent_section"": ""MANUAL SOIL EXCAVATION"", ""machine_class"": ""Cranes, except floating"", ""machinist_grade"": ""3.0"", ""electricity_kwh_per_hour"": 0.16, ""electricity_cost_per_unit"": 0.02}",True
DXME-MELI-KAPU_KAPURI,Gas welding and cutting equipment,equipment,Welding Equipment,Machine hours,0.14,0.14,0.14,EUR,3819,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 0.14, ""price_variants_count"": 1, ""avg_cost_per_use"": 2.73, ""avg_quantity_per_use"": 18.4995, ""used_in_rate_codes"": 3819, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS"", ""parent_section"": ""WATER DRAINAGE"", ""machine_class"": ""Devices for heat treatment, welding, testing, and inspection of welded joints""}",True
KAME-LI-MESA-KATO_KAKAPURI,Bolts with nuts and washers for construction,material,Fasteners,kg,5.48,5.48,5.48,EUR,3400,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 5.48, ""price_variants_count"": 1, ""avg_cost_per_use"": 180.75, ""avg_quantity_per_use"": 33.0324, ""used_in_rate_codes"": 3400, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS""}",True
KAME-LI-KATO-KAME_KAKAKARI,Tap water,material,Water & Utilities,m3,1.18,1.18,1.18,EUR,3328,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 1.18, ""price_variants_count"": 1, ""avg_cost_per_use"": 2539.61, ""avg_quantity_per_use"": 2173.361, ""used_in_rate_codes"": 3328, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Monolithic concrete and reinforced concrete structures"", ""parent_department"": ""STRUCTURES OF NUCLEAR POWER PLANT BUILDINGS"", ""parent_section"": ""Injection of channel formers for the reactor building protective shell prestressing system""}",True
KAME-LI-MESA-KANE_KAMEMEME,Construction nails,material,Fasteners,t,2353.52,2353.52,2353.52,EUR,3190,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 2353.52, ""price_variants_count"": 1, ""avg_cost_per_use"": 35.22, ""avg_quantity_per_use"": 0.0312, ""used_in_rate_codes"": 3190, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS""}",True
DXME-KANE-KASA_KAMEME,"Universal front-end pneumatic wheeled single-bucket loaders, nominal capacity of main bucket RI.NE m3, load capacity 5 t",equipment,General,Machine hours,43.74,43.74,43.74,EUR,2921,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 43.74, ""price_variants_count"": 1, ""avg_cost_per_use"": 85.77, ""avg_quantity_per_use"": 1.9765, ""used_in_rate_codes"": 2921, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT AND DRAINAGE CONSTRUCTION IN WATER MANAGEMENT CONSTRUCTION"", ""machine_class"": ""Lifting and transport machines and mechanisms, except cranes"", ""machinist_grade"": ""5.0""}",True
RI_MEKAKA_KAPU,Grade 4 worker,labor,Labor,hrs,17.12,17.12,17.12,EUR,2918,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 17.12, ""price_variants_count"": 1, ""avg_cost_per_use"": 1227.27, ""avg_quantity_per_use"": 71.7006, ""used_in_rate_codes"": 2918, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT AND DRAINAGE CONSTRUCTION IN WATER MANAGEMENT CONSTRUCTION""}",True
DXME-KADX-KARI_KAKAVO,"Non-tipping mine cars, capacity RI.SA m3",equipment,General,Machine hours,0.31,0.31,0.31,EUR,2892,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 0.31, ""price_variants_count"": 1, ""avg_cost_per_use"": 25.8, ""avg_quantity_per_use"": 84.2565, ""used_in_rate_codes"": 2892, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Tunneling works"", ""parent_department"": ""MINING WORKS PERFORMED BY CONVENTIONAL METHODS"", ""parent_section"": ""PASSAGE OF VERTICAL SHAFTS CONNECTED TO SURROUNDING COURTYARDS, LOADING DEVICE CHAMBERS IN VERTICAL "", ""machine_class"": ""Railway construction machinery""}",True
KAME-LI-MEME-KALI_KARITOKA,"Welding electrodes for welding low-alloy and carbon steels UONI 13/55, E50A, diameter 4-5 mm",material,Steel & Metal,kg,3.74,3.74,3.74,EUR,2861,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 3.74, ""price_variants_count"": 1, ""avg_cost_per_use"": 222.13, ""avg_quantity_per_use"": 59.5305, ""used_in_rate_codes"": 2861, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Wells"", ""parent_department"": ""WELL DRILLING"", ""parent_section"": ""OTHER TYPES OF DRILLING""}",True
ME_MEKAKA_TOKA,Average workload TO.KA,labor,Labor,hrs,15.2,15.2,15.2,EUR,2694,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 15.2, ""price_variants_count"": 1, ""avg_cost_per_use"": 1596.7, ""avg_quantity_per_use"": 105.0412, ""used_in_rate_codes"": 2694, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP""}",True
PU_MEKAKA_KASASA,Personnel: 2 man-hours/machine-hour,operator,Machine Operators,Machine hours,24.04,22.64,45.28,EUR,2611,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 22.64, ""price_variants_count"": 2, ""avg_cost_per_use"": 205.52, ""avg_quantity_per_use"": 8.9018, ""used_in_rate_codes"": 2509, ""row_type"": ""Machinist"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS"", ""machine_class"": ""Cranes, except floating"", ""machinist_grade"": ""5.5""}",True
DXME-KADX-KATO_KATOSA,"Wide gauge platforms, load capacity 73 t",equipment,General,Machine hours,5.72,5.72,5.72,EUR,2608,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 5.72, ""price_variants_count"": 1, ""avg_cost_per_use"": 93.14, ""avg_quantity_per_use"": 16.2964, ""used_in_rate_codes"": 2608, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS"", ""machine_class"": ""Railway construction machinery""}",True
ME_MEKAKA_TOVO,Worker Category 1,labor,Labor,hrs,16.73,16.73,16.73,EUR,2594,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 16.73, ""price_variants_count"": 1, ""avg_cost_per_use"": 4734.22, ""avg_quantity_per_use"": 282.9182, ""used_in_rate_codes"": 2594, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP""}",True
RI_MEKAKA_KASA,Grade 5 worker,labor,Labor,hrs,19.67,19.67,19.67,EUR,2550,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 19.67, ""price_variants_count"": 1, ""avg_cost_per_use"": 2902.49, ""avg_quantity_per_use"": 147.549, ""used_in_rate_codes"": 2550, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Wells"", ""parent_department"": ""WELL DRILLING"", ""parent_section"": ""OTHER TYPES OF DRILLING""}",True
KAVO-ME-KARI-MEME_KAKAKAME,"Forgings from square billets, weight ME.SA-PU.SA kg",material,Steel & Metal,t,2143.14,2143.14,2143.14,EUR,2506,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 2143.14, ""price_variants_count"": 1, ""avg_cost_per_use"": 625.11, ""avg_quantity_per_use"": 0.3771, ""used_in_rate_codes"": 2506, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""EXCAVATION AND FILLING OF TRENCHES FOR MAIN AND INDUSTRIAL PIPELINES FOR GAS AND OIL PRODUCTS""}",True
DXME-KASA-KANE_KAKALI,"Crawler cranes, lifting capacity 25 t",equipment,Cranes,Machine hours,61.63,61.63,61.63,EUR,2365,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 61.63, ""price_variants_count"": 1, ""avg_cost_per_use"": 1593.3, ""avg_quantity_per_use"": 25.8546, ""used_in_rate_codes"": 2365, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""EXCAVATION AND FILLING OF TRENCHES FOR MAIN AND INDUSTRIAL PIPELINES FOR GAS AND OIL PRODUCTS"", ""machine_class"": ""Cranes, except floating"", ""machinist_grade"": ""6.0""}",True
KAME-TO-KARI-KATO_KAKAKAME,"Acetylene gas, technical grade",material,Chemicals & Gases,m3,15.81,15.81,15.81,EUR,2331,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 15.81, ""price_variants_count"": 1, ""avg_cost_per_use"": 287.46, ""avg_quantity_per_use"": 18.6248, ""used_in_rate_codes"": 2331, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Drilling and blasting"", ""parent_department"": ""COVERING OF EXPLOSION AREAS AND DRILLING AND BLASTING WORKS ON ACTIVE RAILWAY TRACKS"", ""parent_section"": ""COVERING THE EXPLOSION AREA TO PROTECT STRUCTURES""}",True
RI_MEKAKA_KARI,2nd grade worker,labor,Labor,hrs,13.92,13.92,13.92,EUR,2220,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 13.92, ""price_variants_count"": 1, ""avg_cost_per_use"": 543.06, ""avg_quantity_per_use"": 39.0037, ""used_in_rate_codes"": 2220, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT AND DRAINAGE CONSTRUCTION IN WATER MANAGEMENT CONSTRUCTION""}",True
ME_MEKAKA_TOSA,Worker Category 1,labor,Labor,hrs,16.16,16.16,16.16,EUR,2210,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 16.16, ""price_variants_count"": 1, ""avg_cost_per_use"": 2495.88, ""avg_quantity_per_use"": 154.4608, ""used_in_rate_codes"": 2210, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP""}",True
DXME-MEVO-KAME_KAKALI,"Mobile screw compressors with internal combustion engines, pressure up to KA.LI MPa (7 atm), capacity up to SA.PU m3/min",equipment,Compressors,Machine hours,10.56,10.56,10.56,EUR,2133,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 10.56, ""price_variants_count"": 1, ""avg_cost_per_use"": 320.18, ""avg_quantity_per_use"": 30.3838, ""used_in_rate_codes"": 2133, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""OTHER TYPES OF EARTHWORKS, PREPARATORY, ACCOMPANYING AND REINFORCEMENT WORKS"", ""parent_section"": ""SOIL COMPACTION"", ""machine_class"": ""Compressor stations, compressors"", ""machinist_grade"": ""4.0""}",True
